prefix,first_name,last_name,gender,phone_number,email,vehicle_description,vehicle_brand,manufacturing_year,model_name,vehicle_type,vehicle_condition,transmission_type,engine_capacity,drive_type,fuel_type,fuel_consumption,kilometres_driven,vehicle_colour,secondary_address,building_number,street_name,street_suffix,location,engine_cylinders,body_type,doors,seats,price
Mr.,Tyler,Mcdonald,m,08.9500.7305,rbarrera@example.com,2013 Toyota RAV4 GX (2WD),Toyota,2013.0,RAV4,SUV,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.4 L / 100 km,211287,Red / Black,Flat 43 ,4,Francisco Courtyard,Crossroad,"Lilydale, VIC",4 cyl,SUV, 4 Doors, 5 Seats,19888
,Kevin,Mendez,u,(08) 7910 3846,logan89@example.net,2010 Nissan Dualis TI (4X2),Nissan,2010.0,Dualis,SUV,USED,Manual,"4 cyl, 2 L",Front,Unleaded,8.1 L / 100 km,173342,Black / Black Heated Leather,Suite 554 ,352,Collier Cruiseway,Path,"Pakenham, VIC",4 cyl,SUV, 4 Doors, 5 Seats,12490
,Robert,Mcdonald,u,0232037678,wagnerashley@example.com,2008 Mazda CX-9 Luxury,Mazda,2008.0,CX-9,SUV,USED,Automatic,"6 cyl, 3.7 L",4WD,Unleaded,13 L / 100 km,176879,White / Black,Unit 23 ,541,Claudia Firetrail,Subway,"Carrum Downs, VIC",6 cyl,SUV, 4 Doors, 7 Seats,12999
Mr.,Daniel,Bass,m,03-1797-2599,ihawkins@example.net,2017 Mini Countryman Cooper,Mini,2017.0,Countryman,SUV,USED,Automatic,"3 cyl, 1.5 L",Front,Premium,6 L / 100 km,59092,Green / Black,Apt. 487 ,2,Carney Slope,Access,"West Ballina, NSW",3 cyl,SUV, 4 Doors, 5 Seats,35890
Mrs.,Mikayla,Smith,f,0412 828 791,amysawyer@example.org,2017 Toyota Corolla Fielder X,Toyota,2017.0,Corolla,Autoproject,USED,Automatic,-,Other,-,-,110386,Silver / Black,Unit 19 ,7,Lewis Flat,Firetrail,"Braeside, VIC",-,Wagon,,,21888
Mr.,Jason,Stephens,m,+61 472 422 471,fbooth@example.net,2016 Mazda CX-5 GT (4X4),Mazda,2016.0,CX-5,SUV,USED,Automatic,"4 cyl, 2.2 L",AWD,Diesel,5.7 L / 100 km,145056,Red / Leather,6/,99,Jim Dell,Glade,"Epping, VIC",4 cyl,SUV, 4 Doors, 5 Seats,25705
,Wendy,Chen,u,+61321161996,bondsusan@example.org,2017 Mazda CX-9 GT (awd),Mazda,2017.0,CX-9,SUV,USED,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,8.8 L / 100 km,87544,White / Black,Suite 358 ,0,Andrew Arcade,Dell,"North Narrabeen, NSW",4 cyl,SUV, 4 Doors, 7 Seats,36500
Dr.,Zain,Walia,f,+61 402 333 546,jason95@example.net,2014 Mercedes-Benz M-Class ML250 BlueTEC 7G-Tronic +,Mercedes-Benz,2014.0,M-Class,Phillips & Co Automotive,USED,Automatic,-,Other,Diesel,-,183501,Grey / Black,716/,6,Martinez Fairway,Dale,"Brookvale, NSW",-,Wagon,,,24999
Ms.,Shannon,Parks,f,08.3000.9220,zbeck@example.com,2015 BMW X5 Xdrive 30D,BMW,2015.0,X5,SUV,USED,Automatic,"6 cyl, 3 L",AWD,Diesel,6.2 L / 100 km,181659,Silver / Black,02/,14,Alexander Thoroughfare,Mew,"Haberfield, NSW",6 cyl,SUV, 4 Doors, 5 Seats,32990
Dr.,Nehmat,Wadhwa,m,0431.928.416,halldana@example.com,2015 Toyota Landcruiser Prado GXL (4X4),Toyota,2015.0,Landcruiser,SUV,USED,Automatic,"4 cyl, 2.8 L",4WD,Diesel,8 L / 100 km,147531,White / -,Flat 43 ,89,Weaver Spur,Garden,"South Morang, VIC",4 cyl,SUV, 4 Doors, 7 Seats,47990
Dr.,Lagan,Tata,m,+61-7-5259-6885,powellralph@example.org,2017 Mercedes-Benz C200,Mercedes-Benz,2017.0,C200,Sedan,USED,Automatic,"4 cyl, 2 L",Rear,Premium,6.5 L / 100 km,62014,White / Black Artico,Suite 271 ,8,Kenneth Front,Sound,"Reynella, SA",4 cyl,Sedan, 4 Doors, 5 Seats,38990
Dr.,Autumn,Baxter,f,0436.751.055,katiegonzales@example.net,2012 Holden Barina CD,Holden,2012.0,Barina,Hatchback,USED,Automatic,"4 cyl, 1.6 L",Front,Unleaded,6.7 L / 100 km,120950,White / Grey,0/,1,Allison Interchange,Lees,"Minchinbury, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,10995
Mrs.,Barbara,Chan,f,(08)07036947,ashleyzamora@example.org,2010 Audi A4 3.0 TDI Quattro,Audi,2010.0,A4,Sedan,USED,Automatic,"6 cyl, 3 L",AWD,Diesel,6.9 L / 100 km,172195,White / -,63/,194,Graves Loop,Footway,"Five Dock, NSW",6 cyl,Sedan, 4 Doors, 5 Seats,14999
,Philip,Crawford,u,(03)-2686-3627,patrick59@example.org,2014 Jeep Grand Cherokee Overland (4X4),Jeep,2014.0,Grand,SUV,USED,Automatic,"6 cyl, 3 L",4WD,Diesel,7.5 L / 100 km,137023,White / Black Leather,0/,19,Nicholas Roadway,Flat,"Elderslie, NSW",6 cyl,SUV, 4 Doors, 5 Seats,24999
Mrs.,Caitlin,Powell,f,+61.498.404.894,vmay@example.org,2016 Holden Colorado LS (4X4),Holden,2016.0,Colorado,Ute / Tray,USED,Manual,"4 cyl, 2.8 L",4WD,Diesel,7.9 L / 100 km,125168,White / Black,Level 5 ,784,Bean Break,Court,"Rockingham, WA",4 cyl,Ute / Tray, 4 Doors, 5 Seats,29490
Mr.,Rhea,Lall,m,3862.0309,pamelamendoza@example.org,2011 Toyota Kluger KX-R (fwd) 5 Seat,Toyota,2011.0,Kluger,SUV,USED,Automatic,"6 cyl, 3.5 L",Front,Unleaded,11 L / 100 km,158085,Grey / -,Flat 68 ,92,Thomas Quays,Nook,"Pakenham, VIC",6 cyl,SUV, 4 Doors, 5 Seats,19490
,Kimberly,Miller,u,08.4196.0459,carolyn75@example.com,2017 Kia Cerato S,Kia,2017.0,Cerato,Sedan,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.1 L / 100 km,101146,Grey / Cloth,3/,83,Pamela Quad,Strand,"Phillip, ACT",4 cyl,Sedan, 4 Doors, 5 Seats,18900
Mr.,Travis,Barnett,m,+61.495.772.126,jonathon04@example.org,2015 Nissan X-Trail ST (fwd),Nissan,2015.0,X-Trail,SUV,USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,7.9 L / 100 km,241131,Grey / -,Suite 361 ,18,Harvey Quadrant,Parade,"Ringwood, VIC",4 cyl,SUV, 4 Doors, 5 Seats,17746
Mrs.,Elizabeth,Wagner,f,10033022,stoutcheryl@example.com,2014 Ford Mondeo LX Tdci,Ford,2014.0,Mondeo,Wagon,USED,Automatic,"4 cyl, 2 L",Front,Diesel,6.2 L / 100 km,170640,Black / Black,92/,4,Greg Reach,Follow,"Minchinbury, NSW",4 cyl,Wagon, 4 Doors, 5 Seats,12995
Ms.,Kristin,Watson,f,8067.2117,jennabooker@example.org,2009 Audi A3 8P Ambition CABRIOLET 2dr Man 6sp 2.0T,Audi,2009.0,A3,Mr Car,USED,Manual,-,Front,Unleaded,-,172149,Grey / -,4/,0,Tiffany Boulevard,Subway,"Rouse Hill, NSW",-,Convertible,,,11999
Mr.,Steven,Ward,m,(02).2662.4695,tracy21@example.org,2011 Mazda 2 NEO,Mazda,2011.0,2,Hatchback,USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,6.8 L / 100 km,168843,Red / Black,3/,40,Jordan Parade,Entrance,"Browns Plains, QLD",4 cyl,Hatchback, 5 Doors, 5 Seats,10888
Mr.,Joshua,Brennan,m,03-3437-0555,blackrobert@example.com,2013 Mazda CX-9 Luxury (fwd),Mazda,2013.0,CX-9,SUV,USED,Automatic,"6 cyl, 3.7 L",Front,Unleaded,11 L / 100 km,109040,Blue / Black,586/,455,Singh Elbow,Expressway,"Brookvale, NSW",6 cyl,SUV, 4 Doors, 7 Seats,22890
Ms.,Julia,Clark,f,(08) 7636 3955,smithdonna@example.net,2013 Hyundai I30 Elite 1.6 Crdi,Hyundai,2013.0,I30,Hatchback,USED,Automatic,"4 cyl, 1.6 L",Front,Diesel,5.6 L / 100 km,89655,Silver / -,989/,2,Cynthia Pass,Entrance,"Rockingham, WA",4 cyl,Hatchback, 5 Doors, 5 Seats,17990
Mrs.,Terri,Miller,f,+61 422 585 895,powelljeffrey@example.org,2016 Holden Colorado LTZ (4X4),Holden,2016.0,Colorado,Ute / Tray,USED,Automatic,"4 cyl, 2.8 L",4WD,Diesel,9.1 L / 100 km,79552,Grey / Cloth,Flat 75 ,0,Shea Wynd,Frontage,"Liverpool, NSW",4 cyl,Ute / Tray, 4 Doors, 5 Seats,39990
Mrs.,Casey,Tran,f,3540-3599,kfinley@example.com,2016 Mercedes-Benz E200,Mercedes-Benz,2016.0,E200,Sedan,USED,Automatic,"4 cyl, 2 L",Rear,Premium,6.4 L / 100 km,42679,Silver / -,Level 4 ,73,Hunt Piazza,Formation,"Rozelle, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,51800
Dr.,Megan,Conner,f,(07)99577430,joseph70@example.org,2012 Nissan Navara ST-R (4X4),Nissan,2012.0,Navara,Ute / Tray,USED,Manual,"4 cyl, 2.5 L",4WD,Diesel,9.2 L / 100 km,178889,White / -,7/,3,Brian Run,Wade,"Gilles Plains, SA",4 cyl,Ute / Tray, 4 Doors, 5 Seats,17988
Mr.,Riaan,Garg,m,+61.425.569.827,hawkinspaul@example.org,2017 Toyota C-HR G (2WD) HYBRID,Toyota,2017.0,C-HR,My Car Choice,USED,Automatic,-,Other,Other,-,94656,Black / Black,Level 3 ,166,Stephen Rest,Thoroughfare,"Greenacre, NSW",-,Wagon,,,29999
,Michelle,Rose,u,+61741957951,davidcross@example.com,2016 BMW X1 sDrive18d Steptronic,BMW,2016.0,X1,Gas Sports Cars,USED,Automatic,-,Front,Diesel,-,87256,Grey / -,Suite 945 ,22,John Walk,Boulevard,"Albion, QLD",-,Wagon,,,34888
,Janice,Cardenas,u,07-8295-3591,debra14@example.org,2001 Toyota Camry Conquest,Toyota,2001.0,Camry,Sedan,USED,Automatic,"6 cyl, 3 L",Front,Unleaded,11.5 L / 100 km,185630,White / Grey,Unit 07 ,55,Lisa Circus,Centreway,"Altona North, VIC",6 cyl,Sedan, 4 Doors, 5 Seats,5999
Ms.,Olivia,Douglas,f,+61.8.9474.6564,maldonadodavid@example.com,2017 Land Rover Discovery Sport TD4 (132KW) HSE 7 Seat,Land,2017.0,Rover,SUV,USED,Automatic,"4 cyl, 2 L",AWD,Diesel,5.3 L / 100 km,71432,White / Black,220/,57,Boyd Strand,Nook,"Brookvale, NSW",4 cyl,SUV, 4 Doors, 7 Seats,36980
Mr.,Kevin,Gonzalez,m,02 2825 3428,ncarpenter@example.net,2011 Kia Cerato S,Kia,2011.0,Cerato,USED Dealer ad,USED,Automatic,-,Front,Unleaded,-,132544,Silver / -,5/,397,Bruce Mount,Esplanade,"Orange, NSW",-,,,,10990
Mr.,Frank,King,m,+61201287115,hcochran@example.org,2017 Land Rover Range Rover Evoque TD4 180 HSE Dynamic,Land,2017.0,Rover,SUV,USED,Automatic,"4 cyl, 2 L",AWD,Diesel,5.1 L / 100 km,67662,White / Black,Suite 654 ,21,Aguilar Elbow,Landing,"Blacktown, NSW",4 cyl,SUV, 2 Doors, 4 Seats,62280
Dr.,Thomas,Wilson,m,9413 5503,andersonbrandon@example.net,2012 Toyota Landcruiser GXL (4X4),Toyota,2012.0,Landcruiser,SUV,USED,Automatic,"8 cyl, 4.5 L",4WD,Diesel,10.3 L / 100 km,357463,White / -,Suite 561 ,38,Williams Alley,Little,"McDougalls Hill, NSW",8 cyl,SUV, 4 Doors, 8 Seats,44990
Mr.,Stephen,Evans,m,0779456062,ychang@example.net,1970 Ford Falcon GT,Ford,1970.0,Falcon,USED Dealer ad,USED,Manual,-,Rear,Unleaded,-,4836,Blue / -,Level 7 ,3,Jared Tarn,Stairs,"Saint Marys, NSW",-,,,,129990
Dr.,Jennifer,Maxwell,f,02-2121-1670,austin37@example.com,2014 Holden Cruze Equipe,Holden,2014.0,Cruze,Hatchback,USED,Manual,"4 cyl, 1.8 L",Front,Unleaded,7 L / 100 km,65143,Blue / -,2/,33,Renee Lower,Driveway,"Campbelltown, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,8950
Mr.,George,Little,m,+61-414-280-717,williamsmiguel@example.com,2015 Peugeot 308 Active,Peugeot,2015.0,308,Hatchback,USED,Automatic,"3 cyl, 1.2 L",Front,Premium,5.1 L / 100 km,84530,Black / Black,Unit 89 ,6,Taylor Walk,Plateau,"Castle Hill, NSW",3 cyl,Hatchback, 5 Doors, 5 Seats,14990
Mrs.,Terry,Ray,f,9170-1470,lopezrobert@example.org,2005 Mercedes-Benz C200 Kompressor Classic,Mercedes-Benz,2005.0,C200,Sedan,USED,Automatic,"4 cyl, 1.8 L",Rear,Unleaded,9.5 L / 100 km,98800,Black / Black Leather,Suite 012 ,27,Jackson Triangle,Lookout,"Brookvale, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,9888
Dr.,Sarah,Perry,f,0094-0076,tonyacastro@example.org,2007 Toyota Landcruiser Prado GXL (4X4),Toyota,2007.0,Landcruiser,SUV,USED,Automatic,"4 cyl, 3 L",4WD,Diesel,9.3 L / 100 km,259770,White / -,173/,226,Hayden Stairs,Bypass,"Morayfield, QLD",4 cyl,SUV, 4 Doors, 8 Seats,20990
Mr.,Timothy,Jackson,m,(07) 6418 3592,dbarrera@example.com,2010 Mazda 3 Diesel,Mazda,2010.0,3,Hatchback,USED,Manual,"4 cyl, 2.2 L",Front,Diesel,5.7 L / 100 km,136792,Blue / Black,99/,71,Morris Wynd,Cul-de-sac,"Mordialloc, VIC",4 cyl,Hatchback, 5 Doors, 5 Seats,10999
Dr.,Larry,Dawson,m,0446.335.373,eroth@example.org,2017 Honda Civic VTI-S,Honda,2017.0,Civic,Sedan,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,6.4 L / 100 km,79895,Grey / Black,Suite 339 ,360,Barrett Outlook,Broadway,"Hoppers Crossing, VIC",4 cyl,Sedan, 4 Doors, 5 Seats,24990
,Sarah,Stokes,u,03.1786.0723,georgekaren@example.com,2017 Toyota Hiace LWB,Toyota,2017.0,Hiace,Commercial,USED,Automatic,"4 cyl, 2.7 L",Rear,Unleaded,9.8 L / 100 km,201511,White / -,580/,70,Robert Villas,Alleyway,"Wangara, WA",4 cyl,Commercial, 4 Doors, 2 Seats,26990
Mrs.,Tina,Johnson,f,(07)-9746-4870,patriciamoore@example.net,2012 Mazda 2 NEO,Mazda,2012.0,2,Hatchback,USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,6.8 L / 100 km,88938,Silver / Black,Level 3 ,39,Natasha Expressway,Triangle,"Castle Hill, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,14990
Miss,Carrie,Hill,f,(07)-4619-0392,mikepeterson@example.org,2014 Audi A1 Sportback 1.4 Tfsi Attraction,Audi,2014.0,A1,Hatchback,USED,Automatic,"4 cyl, 1.4 L",Front,Premium,5.3 L / 100 km,31600,- / -,Flat 42 ,3,Diana Promenade,Rise,"Wollongong, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,18999
Mr.,Matthew,Robinson,m,+61-3-2486-8330,tedwards@example.net,2015 BMW X1 Xdrive 20D Sportline,BMW,2015.0,X1,SUV,USED,Automatic,"4 cyl, 2 L",AWD,Diesel,5.4 L / 100 km,122924,Blue / -,Level 1 ,40,Hunter Concourse,Lookout,"Croydon, NSW",4 cyl,SUV, 4 Doors, 5 Seats,26999
Mr.,Ricky,Jones,m,+61 403 300 099,xpratt@example.org,2017 Land Rover Range Rover Velar D240 R-Dynamic S,Land,2017.0,Rover,SUV,USED,Automatic,"4 cyl, 2 L",AWD,Diesel,5.4 L / 100 km,130279,Grey / Black,Suite 896 ,8,Brooke Access,Boulevard,"Totness, SA",4 cyl,SUV, 4 Doors, 5 Seats,62490
,Alicia,Murphy,u,0371351995,ramseyandrea@example.net,2017 Volkswagen Amarok V6 TDI 550 Highline,Volkswagen,2017.0,Amarok,Ute / Tray,USED,Automatic,"6 cyl, 3 L",4WD,Diesel,7.8 L / 100 km,151741,White / Black,Flat 71 ,67,Murphy Bridge,Rue,"Bunbury, WA",6 cyl,Ute / Tray, 4 Doors, 5 Seats,37990
Dr.,Nancy,Herrera,f,(03)-8430-2100,fisherdarlene@example.org,2017 Mitsubishi Pajero GLS LWB (4X4),Mitsubishi,2017.0,Pajero,SUV,USED,Automatic,"4 cyl, 3.2 L",4WD,Diesel,9 L / 100 km,104159,Silver / Black,Level 0 ,615,Wanda Broadway,Mew,"Rocklea, QLD",4 cyl,SUV, 4 Doors, 7 Seats,41920
Dr.,Jack,Mitchell,m,0481.777.727,gmartinez@example.com,2014 Ford Ranger XL 2.2 (4X2),Ford,2014.0,Ranger,Ute / Tray,USED,Manual,"4 cyl, 2.2 L",Rear,Diesel,7.6 L / 100 km,195534,Grey / -,611/,777,Eric Villas,Highroad,"Minchinbury, NSW",4 cyl,Ute / Tray, 2 Doors, 2 Seats,22990
Mrs.,Julie,Pierce,f,07.9201.6144,danielgonzalez@example.com,2013 Mitsubishi Outlander ES (4X2),Mitsubishi,2013.0,Outlander,SUV,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,6.6 L / 100 km,169051,White / -,Flat 76 ,91,Shelia Amble,Brace,"Minchinbury, NSW",4 cyl,SUV, 4 Doors, 5 Seats,16990
Mr.,Caleb,Vance,m,+61.447.367.889,david98@example.org,2012 Holden Commodore Omega,Holden,2012.0,Commodore,Wagon,USED,Automatic,"6 cyl, 3 L",Rear,Unleaded,8.9 L / 100 km,280129,Black / Grey,420/,293,Brown Close,Circuit,"Footscray, VIC",6 cyl,Wagon, 4 Doors, 5 Seats,8999
Mrs.,Cheryl,Richardson,f,(02) 4961 1532,veronicaruiz@example.net,2005 Jeep Grand Cherokee Laredo (4X4),Jeep,2005.0,Grand,SUV,USED,Automatic,"6 cyl, 4 L",4WD,Unleaded,15 L / 100 km,274642,Silver / -,Suite 577 ,69,Marks Plateau,Ring,"Braybrook, VIC",6 cyl,SUV, 4 Doors, 5 Seats,9499
,Heather,Ross,u,(08)83956359,joseph65@example.net,2017 Subaru Impreza 2.0S (awd),Subaru,2017.0,Impreza,Hatchback,USED,Automatic,"4 cyl, 2 L",AWD,Unleaded,7.2 L / 100 km,60091,White / Black,Suite 776 ,5,Parker Gap,Little,"Pinkenba, QLD",4 cyl,Hatchback, 5 Doors, 5 Seats,24888
Dr.,Brian,White,m,(07).4910.5967,matthewjohnson@example.com,2012 Toyota Kluger KX-S (4X4),Toyota,2012.0,Kluger,SUV,USED,Automatic,"6 cyl, 3.5 L",4WD,Unleaded,11 L / 100 km,101222,White / Black,Flat 99 ,663,Sanders Run,Cove,"Brookvale, NSW",6 cyl,SUV, 4 Doors, 7 Seats,23990
Dr.,Susan,Torres,f,+61-491-544-601,dana71@example.com,2010 Mazda CX-9 Grand Touring,Mazda,2010.0,CX-9,SUV,USED,Automatic,"6 cyl, 3.7 L",4WD,Unleaded,11.3 L / 100 km,202901,White / -,Suite 975 ,715,David Tollway,Port,"Minchinbury, NSW",6 cyl,SUV, 4 Doors, 7 Seats,14990
,Christopher,Allen,u,+61738218376,dominiquesanchez@example.com,2017 Suzuki Vitara RT-S,Suzuki,2017.0,Vitara,SUV,USED,Automatic,"4 cyl, 1.6 L",Front,Unleaded,6 L / 100 km,40101,White / Cloth,16/,714,David Roadway,Copse,"Phillip, ACT",4 cyl,SUV, 4 Doors, 5 Seats,24990
,Christopher,Lester,u,8446-5075,ericlopez@example.com,2015 Mercedes-Benz Sprinter 313CDI MWB,Mercedes-Benz,2015.0,Sprinter,Commercial,USED,Automatic,"4 cyl, 2.1 L",Rear,Diesel,0 L / 100 km,375901,White / -,571/,3,Richardson Front,Circus,"Prospect, SA",4 cyl,Commercial, 3 Doors, 2 Seats,23888
Mrs.,Anna,Salazar,f,08-8689-7540,harrisontimothy@example.org,2012 Volkswagen Amarok TDI400 (4X4),Volkswagen,2012.0,Amarok,Ute / Tray,USED,Manual,"4 cyl, 2 L",4WD,Diesel,7.9 L / 100 km,153502,Silver / -,72/,76,Julie Turn,Mall,"Molendinar, QLD",4 cyl,Ute / Tray, 4 Doors, 5 Seats,22990
Mr.,Jonathan,Thompson,m,0402-214-841,jerrydennis@example.org,2012 Toyota Landcruiser GX (4X4),Toyota,2012.0,Landcruiser,Ute / Tray,USED,Manual,"8 cyl, 4.5 L",4WD,Diesel,11.5 L / 100 km,286104,White / Grey,618/,4,Walker Rue,Deviation,"Cardiff, NSW",8 cyl,Ute / Tray, 2 Doors, 3 Seats,52880
,Molly,Evans,u,+61-448-473-430,whitneyjennifer@example.org,2016 Nissan Navara ST (4X4),Nissan,2016.0,Navara,Ute / Tray,USED,Automatic,"4 cyl, 2.3 L",4WD,Diesel,7 L / 100 km,148624,White / -,267/,33,Raymond Terrace,Broadway,"Essendon, VIC",4 cyl,Ute / Tray, 2 Doors, 4 Seats,33990
Mr.,Cole,Castillo,m,+61229085524,fjames@example.org,2017 Toyota Kluger GXL (4X2),Toyota,2017.0,Kluger,SUV,USED,Automatic,"6 cyl, 3.5 L",Front,Unleaded,9.1 L / 100 km,75896,Silver / Black,672/,38,Wyatt Hill,Reserve,"South Bunbury, WA",6 cyl,SUV, 4 Doors, 7 Seats,39900
Dr.,Indrajit,Raj,m,0460-900-082,stricklandedwin@example.net,2014 Volkswagen Golf GTI Performance,Volkswagen,2014.0,Golf,Hatchback,USED,Automatic,"4 cyl, 2 L",Front,Premium,6.6 L / 100 km,67354,- / -,12/,258,Ricky Bridge,Tor,"Ashmore, QLD",4 cyl,Hatchback, 5 Doors, 5 Seats,25999
Dr.,Sara,Bailey,f,(08) 8251 4030,william97@example.net,2012 Honda Civic VTI-S,Honda,2012.0,Civic,Hatchback,USED,Automatic,"4 cyl, 1.8 L",Front,Premium,6.5 L / 100 km,33700,Black / Grey,Level 7 ,31,Sosa Spur,Track,"New Lambton, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,19990
,Mark,Miller,u,(02) 6184 7971,owensjulie@example.com,2016 Toyota Yaris Ascent,Toyota,2016.0,Yaris,Hatchback,USED,Automatic,"4 cyl, 1.3 L",Front,Unleaded,6.3 L / 100 km,28500,White / Black,Level 6 ,62,Jerry Line,Parkway,"North Hobart, TAS",4 cyl,Hatchback, 5 Doors, 5 Seats,18500
,Misc.,Mindy,u,0400.918.853,upayne@example.org,2007 Ford Falcon XLS,Ford,2007.0,Falcon,Ute / Tray,USED,Automatic,"6 cyl, 4 L",Rear,Unleaded,11.1 L / 100 km,252528,Silver / -,8/,47,Whitney Quadrangle,Walk,"Westcourt, QLD",6 cyl,Ute / Tray, 2 Doors, 2 Seats,8499
Dr.,Amani,Sunder,f,0244112646,onealerika@example.net,2015 Holden Cruze Equipe,Holden,2015.0,Cruze,Sedan,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,7.4 L / 100 km,81234,White / Black,952/,28,Armstrong Frontage,Tarn,"Brown Hill, VIC",4 cyl,Sedan, 4 Doors, 5 Seats,13990
Mrs.,Peggy,Hutchinson,f,0921 1061,matthewhart@example.org,2011 Subaru WRX (AWD),Subaru,2011.0,WRX,Sedan,USED,Manual,"4 cyl, 2.5 L",AWD,Premium,10.7 L / 100 km,234308,White / -,Suite 476 ,7,Jennifer Retreat,Heights,"Five Dock, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,16999
Mrs.,Melissa,Hill,f,0701908868,zcardenas@example.com,2013 Subaru XV 2.0I,Subaru,2013.0,XV,SUV,USED,Manual,"4 cyl, 2 L",AWD,Unleaded,7.3 L / 100 km,184281,Orange / -,Suite 727 ,139,Cruz Crossroad,Grove,"Lambton, NSW",4 cyl,SUV, 4 Doors, 5 Seats,12990
Dr.,Wesley,Hernandez,m,3495 5806,scottwebb@example.net,2015 BMW X5 Xdrive 30D,BMW,2015.0,X5,SUV,USED,Automatic,"6 cyl, 3 L",AWD,Diesel,6.2 L / 100 km,129523,White / Black,841/,9,Gabrielle Flat,Drive,"South Melbourne, VIC",6 cyl,SUV, 4 Doors, 5 Seats,37740
,Maria,Vaughn,u,02 5976 4371,donovanjodi@example.org,2014 Honda Jazz VTI,Honda,2014.0,Jazz,Hatchback,USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,5.8 L / 100 km,98512,Black / -,Suite 329 ,22,Sharp Track,Rotary,"Moorooka, QLD",4 cyl,Hatchback, 5 Doors, 5 Seats,13500
Miss,Maria,Carter,f,08.2708.2960,kentnelson@example.net,2008 Toyota HiAce 2WD H/R 6 SEATS,Toyota,2008.0,HiAce,Edward Lees Imports,USED,Automatic,-,Other,Unleaded,-,124289,White / Grey,6/,99,Allison Esplanade,Wynd,"West Ryde, NSW",-,Commercial,,,31888
Dr.,Benjamin,McKinnon,m,03.5908.2673,parroyo@example.org,2007 Nissan GT-R,Nissan,2007.0,GT-R,Hove Car Sales Pty Ltd,USED,Automatic,-,Other,Premium,-,37222,Silver / -,Level 1 ,5,Schneider Mount,Formation,"Brighton, SA",-,Coupe,,,108888
Ms.,Patricia,Moreno,f,9207 3972,patricklewis@example.net,2017 Land Rover Discovery TD6 HSE,Land,2017.0,Rover,SUV,USED,Automatic,"6 cyl, 3 L",4WD,Diesel,7.2 L / 100 km,94200,White / -,Unit 23 ,0,Khan Brae,Viaduct,"Osborne Park, WA",6 cyl,SUV, 4 Doors, 5 Seats,77990
Dr.,Tammy,Vincent,f,+61 8 3820 8277,scottross@example.org,2001 Mitsubishi Triton GLX,Mitsubishi,2001.0,Triton,Ute / Tray,USED,Automatic,"6 cyl, 3 L",Rear,Unleaded,14 L / 100 km,341850,White / -,Unit 37 ,2,Watson Sound,Slope,"Mount Louisa, QLD",6 cyl,Ute / Tray, 4 Doors, 5 Seats,5800
,William,Brown,u,0470 424 249,tracyjohnson@example.com,2015 Ford Kuga Ambiente (awd),Ford,2015.0,Kuga,SUV,USED,Automatic,"4 cyl, 1.6 L",AWD,Premium,7.7 L / 100 km,92274,Green / -,365/,422,Campbell Line,Street,"Camden, NSW",4 cyl,SUV, 4 Doors, 5 Seats,14995
Mr.,Michael,Carey,m,+61-488-536-561,zthomas@example.net,2013 Ford Kuga Trend (awd),Ford,2013.0,Kuga,SUV,USED,Automatic,"4 cyl, 2 L",AWD,Diesel,6.3 L / 100 km,199133,Blue / -,Suite 097 ,45,Sawyer Slope,Crest,"Maroochydore, QLD",4 cyl,SUV, 4 Doors, 5 Seats,15111
Mr.,Juan,Wilson,m,+61-469-129-062,howardlauren@example.com,2010 Nissan X-Trail ST-L (4X4),Nissan,2010.0,X-Trail,SUV,USED,Automatic,"4 cyl, 2.5 L",4WD,Unleaded,9.3 L / 100 km,247947,White / -,Level 3 ,75,Michele Ramp,Crossroad,"Fyshwick, ACT",4 cyl,SUV, 4 Doors, 5 Seats,9999
Dr.,Johan,Figueroa,m,+61-444-375-878,longterri@example.com,2008 Mazda BT-50 B3000 DX (4X4),Mazda,2008.0,BT-50,Ute / Tray,USED,Automatic,"4 cyl, 3 L",4WD,Diesel,10.4 L / 100 km,181196,Black / Grey,641/,41,Stephen Ring,Subway,"Launceston, TAS",4 cyl,Ute / Tray, 4 Doors, 5 Seats,13990
